canister_id,project,type,token_name,token_symbol,notes
22g4r-6yaaa-aaaak-qt2oq-cai,Unknown Token,token,Token1,TOKEN1,Token: Token1 (TOKEN1)
22hwg-5iaaa-aaaah-arb4q-cai,Unknown,backend,,,Frontend: https://22hwg-5iaaa-aaaah-arb4q-cai.icp0.io.
22ltm-7aaaa-aaaar-qbnnq-cai,ODIN.fun,token,BTHACD•ID•FQEE•ODIN,BTHACD•ID•FQEE•ODIN,Token: BTHACD•ID•FQEE•ODIN (BTHACD•ID•FQEE•ODIN)
235yg-kiaaa-aaaaj-qnwlq-cai,Unknown,backend,,,Frontend: https://235yg-kiaaa-aaaaj-qnwlq-cai.icp0.io.
2377i-5aaaa-aaaai-q3yua-cai,Unknown,backend,,,Frontend: https://2377i-5aaaa-aaaai-q3yua-cai.icp0.io.
23gat-biaaa-aaaaj-a2bca-cai,Unknown,backend,,,Frontend: https://23gat-biaaa-aaaaj-a2bca-cai.ic0.app.
23k3w-iiaaa-aaaar-qbzza-cai,ODIN.fun,token,TKC•ID•JGBC•ODIN,TKC•ID•JGBC•ODIN,Token: TKC•ID•JGBC•ODIN (TKC•ID•JGBC•ODIN)
246z4-qyaaa-aaaai-q3yuq-cai,Unknown,backend,,,Frontend: https://246z4-qyaaa-aaaai-q3yuq-cai.ic0.app.
24t7b-laaaa-aaaak-quf6q-cai,Unknown,backend,,,Frontend: https://24t7b-laaaa-aaaak-quf6q-cai.ic0.app.
25jyk-oaaaa-aaaah-adwwa-cai,Unknown,backend,,,Frontend: https://25jyk-oaaaa-aaaah-adwwa-cai.ic0.app.
2664g-ziaaa-aaaai-q3uyq-cai,Unknown,backend,,,Frontend: https://2664g-ziaaa-aaaai-q3uyq-cai.ic0.app.
267yv-naaaa-aaaar-qapva-cai,ODIN.fun,token,RUNESFTW•ID•EOVX•ODIN,RUNESFTW•ID•EOVX•ODIN,Token: RUNESFTW•ID•EOVX•ODIN (RUNESFTW•ID•EOVX•ODIN)
26biv-aaaaa-aaaal-ad4aa-cai,Unknown,backend,,,Frontend: https://26biv-aaaaa-aaaal-ad4aa-cai.ic0.app.
26jmx-laaaa-aaaar-qaqqq-cai,ODIN.fun,token,ODINAPE•ID•BVAE•ODIN,ODINAPE•ID•BVAE•ODIN,Token: ODINAPE•ID•BVAE•ODIN (ODINAPE•ID•BVAE•ODIN)
26lyy-maaaa-aaaar-qbvvq-cai,ODIN.fun,token,XINGSHI•ID•RDTI•ODIN,XINGSHI•ID•RDTI•ODIN,Token: XINGSHI•ID•RDTI•ODIN (XINGSHI•ID•RDTI•ODIN)
275ts-ziaaa-aaaaj-qnotq-cai,Unknown,backend,,,Frontend: https://275ts-ziaaa-aaaaj-qnotq-cai.icp0.io.
27q7f-uiaaa-aaaaj-a2g7q-cai,Unknown,backend,,,Frontend: https://27q7f-uiaaa-aaaaj-a2g7q-cai.icp0.io.
