project_name,website,filename
"DEX","https://www.icpswap.com","dex.png"
"NFT","https://entrepot.app/marketplace","nft.png"
"SNS-W","https://dashboard.internetcomputer.org/canister/qaa6y-5yaaa-aaaaa-aaafa-cai","sns-w.png"
"GOLDAO","https://docs.gold-dao.org","goldao.png"
"Motoko","https://entrepot.app/marketplace/motoko","motoko.png"
"OHSHII","https://launcher.ohshii.com","ohshii.png"
"Omnity","https://www.omnity.network","omnity.png"
"TipJar","https://k25co-pqaaa-aaaab-aaakq-cai.ic0.app","tipjar.png"
"EVM RPC","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/evm-rpc/overview","evm-rpc.png"
"NNS Root","https://dashboard.internetcomputer.org/canister/r7inp-6aaaa-aaaaa-aaabq-cai","nns-root.png"
"SNS Swap","https://internetcomputer.org/sns","sns-swap.png"
"ICP Index","https://dashboard.internetcomputer.org/canister/qhbym-qaaaa-aaaaa-aaafq-cai","icp-index.png"
"RunicSwap","https://github.com/buriburizaemonnn/RunicSwap","runicswap.png"
"ICP Ledger","https://dashboard.internetcomputer.org/canister/ryjl3-tyaaa-aaaaa-aaaba-cai","icp-ledger.png"
"ICRC Index","https://internetcomputer.org/docs/current/developer-docs/defi/tokens/indexes","icrc-index.png"
"Ordi Trade","https://dashboard.internetcomputer.org/sns/niwqm-faaaa-aaaaq-aadiq-cai","ordi-trade.png"
"GRAVE Token","https://xc3mi-sqaaa-aaaaj-a2mhq-cai.icp0.io","grave-token.png"
"ckETH Index","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","cketh-index.png"
"ckUNI Index","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","ckuni-index.png"
"NNS Lifeline","https://dashboard.internetcomputer.org/canister/rno2w-sqaaa-aaaaa-aaacq-cai","nns-lifeline.png"
"NNS Registry","https://dashboard.internetcomputer.org/canister/rwlgt-iiaaa-aaaaa-aaaaa-cai","nns-registry.png"
"ckETH Ledger","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","cketh-ledger.png"
"ckETH Minter","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","cketh-minter.png"
"ckEURC Index","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","ckeurc-index.png"
"ckLINK Index","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","cklink-index.png"
"ckOCT Ledger","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","ckoct-ledger.png"
"ckPEPE Index","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","ckpepe-index.png"
"ckUSDC Index","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","ckusdc-index.png"
"ckXAUT Index","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","ckxaut-index.png"
"CanDB Storage","https://www.canscale.dev","candb-storage.png"
"Cycles Ledger","https://internetcomputer.org","cycles-ledger.png"
"Genesis Token","https://dashboard.internetcomputer.org/canister/renrk-eyaaa-aaaaa-aaada-cai","genesis-token.png"
"Orbit Station","https://orbit.global","orbit-station.png"
"SNS Component","https://internetcomputer.org/sns","sns-component.png"
"ckLINK Ledger","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","cklink-ledger.png"
"ckUSDC Ledger","https://internetcomputer.org/docs/building-apps/chain-fusion/ethereum/overview","ckusdc-ledger.png"
"NNS Governance","https://dashboard.internetcomputer.org/canister/rrkah-fqaaa-aaaaa-aaaaq-cai","nns-governance.png"
"5000 SLICES Token","https://3npnb-hqaaa-aaaao-a2ghq-cai.icp0.io","5000-slices-token.png"
"NNS Subnet Rental","https://dashboard.internetcomputer.org/canister/qvhpv-4qaaa-aaaaa-aaagq-cai","nns-subnet-rental.png"
"BoB (Burn or Burn)","https://bob.fun","bob-burn-or-burn.png"
"ICP Ledger Archive","https://dashboard.internetcomputer.org/canister/ryjl3-tyaaa-aaaaa-aaaba-cai","icp-ledger-archive.png"
"Bitcoin Integration","https://internetcomputer.org/bitcoin-integration","bitcoin-integration.png"
"The Needful DO Token","https://github.com/The-Needful-DO-org/alien-token","the-needful-do-token.png"
"Exchange Rates Oracle","https://internetcomputer.org/docs/references/system-canisters","exchange-rates-oracle.png"
"NNS Subnet Management","https://dashboard.internetcomputer.org/subnets","nns-subnet-management.png"
"Avocado Research Token","https://avcd.hodl.fyi","avocado-research-token.png"
"NNS Canister Migration","https://dashboard.internetcomputer.org/canister/sbzkb-zqaaa-aaaaa-aaaiq-cai","nns-canister-migration.png"
"NNS Node Provider Rewards","https://dashboard.internetcomputer.org/canister/sgymv-uiaaa-aaaaa-aaaia-cai","nns-node-provider-rewards.png"
"Cycles Minting Canister (CMC)","https://dashboard.internetcomputer.org/canister/rkp4c-7iaaa-aaaaa-aaaca-cai","cycles-minting-canister-cmc.png"
"Unknown","","unknown.png"
"Abandoned","","abandoned.png"
"RON Index","","ron-index.png"
"XRP Token","","xrp-token.png"
"vyt Token","","vyt-token.png"
"ICRC Token","","icrc-token.png"
"SHOW Index","","show-index.png"
"TRON Token","","tron-token.png"
"Alice Token","","alice-token.png"
"Aptos Token","","aptos-token.png"
"CLOUD Index","","cloud-index.png"
"Discord Bot","","discord-bot.png"
"Forum/Board","","forum-board.png"
"Kaspa Token","","kaspa-token.png"
"RONJU Token","","ronju-token.png"
"TST15 Token","","tst15-token.png"
"ToKeN Token","","token-token.png"
"Trump Token","","trump-token.png"
"Hell O Token","","hell-o-token.png"
"ICRC Archive","","icrc-archive.png"
"OHSHII Index","","ohshii-index.png"
"Unidentified","","unidentified.png"
"Bitcoin Token","","bitcoin-token.png"
"Cardano Token","","cardano-token.png"
"Cycle Manager","","cycle-manager.png"
"Cycles Wallet","","cycles-wallet.png"
"Unknown Token","","unknown-token.png"
"Asset Canister","","asset-canister.png"
"GoldFish Token","","goldfish-token.png"
"ICRC-1 Archive","","icrc-1-archive.png"
"ICRC-3 Archive","","icrc-3-archive.png"
"Orbit Upgrader","","orbit-upgrader.png"
"polkadot Token","","polkadot-token.png"
"GoldSlice Token","","goldslice-token.png"
"Logger Canister","","logger-canister.png"
"Social Platform","","social-platform.png"
"Butten Bun Token","","butten-bun-token.png"
"Canister Monitor","","canister-monitor.png"
"Social/Forum App","","social-forum-app.png"
"WaterMelon Token","","watermelon-token.png"
"Analytics Service","","analytics-service.png"
"Bills Payment App","","bills-payment-app.png"
"Canister Upgrader","","canister-upgrader.png"
"Exchange Registry","","exchange-registry.png"
"NFT Runes Exchange","","nft-runes-exchange.png"
"Blackhole (ninegua)","","blackhole-ninegua.png"
