\nProcessing batch 21-50 of 1806\n
[21/1806] Researching ncfbq-kyaaa-aaaar-qah3a-cai... ❌ Unknown (candid_unrecognizable)
[22/1806] Researching zzriv-cqaaa-aaaao-a2gjq-cai... ❌ Unknown (candid_unrecognizable)
[23/1806] Researching t4dy3-uiaaa-aaaar-qafua-cai... ❌ Unknown (candid_unrecognizable)
[24/1806] Researching 3qgfz-2qaaa-aaaar-qaipq-cai... ❌ Unknown (candid_unrecognizable)
[25/1806] Researching vil43-piaaa-aaaal-qsibq-cai... ❌ Unknown (candid_unrecognizable)
[26/1806] Researching pupbt-hiaaa-aaaar-qbrzq-cai... ❌ Unknown (candid_unrecognizable)
[27/1806] Researching zk2nf-eaaaa-aaaar-qaiaq-cai... ❌ Unknown (candid_unrecognizable)
[28/1806] Researching hqdel-diaaa-aaaai-actvq-cai... ❌ Unknown (candid_unrecognizable)
[29/1806] Researching knbkj-fiaaa-aaaan-qaadq-cai... ✓ Asset Canister
[30/1806] Researching pdrk7-tyaaa-aaaaq-aaeaa-cai... ❌ Unknown (candid_unrecognizable)
[31/1806] Researching vi6cu-aiaaa-aaaad-aad7q-cai... ❌ Unknown (candid_unrecognizable)
[32/1806] Researching huh2c-uqaaa-aaaab-aabaq-cai... ❌ Unknown (candid_unrecognizable)
[33/1806] Researching pyuw2-jaaaa-aaaaq-aaecq-cai... ❌ Unknown (candid_unrecognizable)
[34/1806] Researching j4tiv-oaaaa-aaaan-qau7a-cai... ❌ Unknown (candid_unrecognizable)
[35/1806] Researching r4db7-eaaaa-aaaah-arh4q-cai... ✓ ICP1 Token
[36/1806] Researching 6owwo-2yaaa-aaaam-qbelq-cai... ❌ Unknown (candid_unrecognizable)
[37/1806] Researching whdfs-saaaa-aaaao-awh4a-cai... ❌ Unknown (candid_unrecognizable)
[38/1806] Researching bp6lc-ziaaa-aaaag-abqyq-cai... ✓ Asset Canister
[39/1806] Researching cvzdk-piaaa-aaaap-ahgpq-cai... ❌ Unknown (candid_unrecognizable)
[40/1806] Researching emmm6-kaaaa-aaaak-qlnwa-cai... ❌ Unknown (candid_unrecognizable)
[41/1806] Researching ghhdg-viaaa-aaaao-aaivq-cai... ✓ Asset Canister
[42/1806] Researching rwkfp-zyaaa-aaaao-qj7nq-cai... ❌ Unknown (candid_unrecognizable)
[43/1806] Researching 4rcf3-fqaaa-aaaar-qbn2q-cai... ❌ Unknown (candid_unrecognizable)
[44/1806] Researching 7dysa-vqaaa-aaaam-qbema-cai... ✓ Asset Canister
[45/1806] Researching zbspl-ziaaa-aaaam-qbe2q-cai... ❌ Unknown (candid_unrecognizable)
[46/1806] Researching skf3i-5qaaa-aaaag-abt6a-cai... ✓ Asset Canister
[47/1806] Researching vsdig-fyaaa-aaaaf-qam2a-cai... ✓ Orbit Station
[48/1806] Researching sfjch-siaaa-aaaak-qarnq-cai... ✓ Asset Canister
[49/1806] Researching iem3i-kaaaa-aaaar-qamxa-cai... ❌ Unknown (candid_unrecognizable)
[50/1806] Researching 4tb3r-nyaaa-aaaae-qad5a-cai... ❌ Unknown (candid_unrecognizable)
\n✓ Batch complete: 8/30 identified
